,title,area,price_VND,location
0,Căn góc block B tầng trung 2 ban công,70 m² - 2 PN,"1,95 tỷ",Quận 8
1,72m² Đã có sổ - Giá 1.750 tỷ - Vay được tất cả NH,72 m² - 2 PN,"1,75 tỷ",Huyện Nhà Bè
2,🛑Căn 1PN+ full NT Vinhomes Q9 rẻ hơn giá gốc 300t,47 m² - 1 PN,"1,59 tỷ",Quận 9
3,"Thanh lý gấp căn nhà mặt tiền gần chợ, khu vực HCM",125 m² - 2 PN,"1,75 tỷ",Huyện Bình Chánh
4,🛑Căn 1PN+ hồ bơi đẹpnhất Vinhomes Q9 DƯỚI GIÁ GỐC,47 m² - 1 PN,400 triệu,Quận 9
5,Penthouse Vinhomes Central Park 168m² 4PN,168 m² - 4 PN,"15,89 tỷ",Quận Bình Thạnh
6,"CC Phường 7, Quận 8 62m² 2PN nhà chính chủ",62 m² - 2 PN,650 triệu,Quận 8
7,🛑Căn 2 P Ngủ +NT Vinhomes Q9 Rẻ hơn giá gốc 400tr,59 m² - 2 PN,"1,92 tỷ",Quận 9
8,"Bán nhà chung cư TẦNG 1 đẹp, vào ở ngay. P4, Q8",70 m² - 2 PN,"2,35 tỷ",Quận 8
9,Chính Chủ Cần Bán Chung cư Quận Tân Phú 112m² 3PN,112 m² - 3 PN,4 tỷ,Quận Tân Phú
10,Chung cư Dream Home Palace 62m² 2 PN,62 m² - 2 PN,"1,7 tỷ",Quận 8
11,🛑Căn 2 P Ngủ +FULL NT Đep Vinhomes rẻ hơn TT 200t,59 m² - 2 PN,580 triệu,Quận 9
12,"Penthouse Thủy Lợi 4 , Nguyễn Xí  , 165m² ,  4PN",165 m² - 4 PN,"7,7 tỷ",Quận Bình Thạnh
13,GIÁ TẬN GỐC TỪ CĐT CĂN HỘ MẶT TIỀN PHẠM VĂN ĐỒNG,85 m² - 2 PN,870 triệu,Quận Thủ Đức
14,Căn Penthouse Hoàng Anh Thanh Bình P.Tân Hưng Q7,277 m² - 5 PN,"7,8 tỷ",Quận 7
15,cho thuê căn hộ 1pn+ Vinhome Grand Park 47m2,47 m² - 1 PN,4 triệu,Quận 9
16,CHUNG CƯ PROSPER PHỐ ĐÔNG - THỦ ĐỨC GIÁ CHỦ ĐẦU TƯ,53 m² - 2 PN,310 triệu,Quận Thủ Đức
17,Chung cư Docklands Sài Gòn 125m² 3PN,125 m² - 3 PN,"5,35 tỷ",Quận 7
18,Căn Hộ cao cấp Xi Grand Court 75m² 2PN full NT,75 m² - 2 PN,"4,95 tỷ",Quận 10
19,😛KHỦNG KHIẾP 60 TỈ CĂN 57M2 HẠNG TRUNG Ở HK,46 m² - 1 PN,"1,9 tỷ",Quận 9
0,"Để bằng giá hợp đồng, tặng toàn bộ nội thất",83 m² - 3 PN,"3,45 tỷ",Huyện Nhà Bè
1,Bán lỗ Căn hộ 3pn(81m2) Vinhomes GrandPark Quận 9,81 m² - 3 PN,"2,83 tỷ",Quận 9
2,Căn Hộ 7 Tầng TTTM Central Premium 87m² 3PN 2WWC,87 m² - 3 PN,"4,3 tỷ",Quận 8
3,Căn hộ ven sông Saigon Q7 Riverside sắp bàn giao,53 m² - 2 PN,"2,2 tỷ",Quận 7
4,"CH 76m2 (2PN,2WC) 1,680 tỷ bao hết. Vay đến 70%",76 m² - 2 PN,"1,68 tỷ",Huyện Nhà Bè
5,"CĂN HỘ ""ĐẸP NHƯ VINHOME"" - CHỈ 9 CĂN ĐẸP (GIÁ MỀM)",78 m² - 2 PN,"2,611 tỷ",Quận 12
6,Căn hộ 60m2 khu Cộng Hòa giá gần 1 tỷ tại Tân Bình,33 m² - 1 PN,926 triệu,Quận Tân Bình
7,Căn hộ  Bình Thạnh  giá 900tr full nội thất,36 m² - 1 PN,900 triệu,Quận Bình Thạnh
8,"Căn hộ xanh giữa Saigon, giá mềm ở ngay.",50 m² - 1 PN,"1,5 tỷ",Quận Bình Tân
9,Officetel Central Premium 32m² Trung Tâm Q8,32 m² - 1 PN,"1,45 tỷ",Quận 8
10,Bán gấp căn hộ Vinhomes 2pn full nội thất view đep,59 m² - 2 PN,"2,2 tỷ",Quận 9
11,bán gấp căn hộ 1pn+ giá 1.7 tỷ,47 m² - 1 PN,"1,7 tỷ",Quận 9
12,Căn Hộ Góc Dreamhome Palace 78.91m² 3PN,78.91 m² - 3 PN,"2,136 tỷ",Quận 8
13,Căn Hộ Cao Cấp Vườn nhật Vinhomes Grand Park Q9,47 m² - 1 PN,"2,75 triệu",Quận 9
14,Bán căn hộ 3PN C.T Plaza Nguyên Hồng Gò Vấp 5ty4,112 m² - 3 PN,"5,4 tỷ",Quận Gò Vấp
15,Căn Hộ đối diện SC Vivo Lavida Plus 97m² 3PN 2WC,97 m² - 3 PN,"3,9 tỷ",Quận 7
16,căn hộ 2PN dt 69m2  Vinhome Grand Park quận 9,69 m² - 2 PN,"2,5 tỷ",Quận 9
17,"CẦN BÁN CĂN 2PN TẠI Q7 BOULEVARD, TẶNG PHÍ BẢO TRÌ",57 m² - 2 PN,"2,55 tỷ",Quận 7
18,"Căn hộ Oficetel Lavida Plus Q7, đối diện SC Vivo",27 m² - 1 PN,"1,4 tỷ",Quận 7
19,Nhỉnh 1 tỷ có nhà 2pn nội thất cao cấp view sông,72 m² - 2 PN,"1,85 tỷ",Quận 7
0,"BÁN CH KV 9VIEW FULL NT VIEW ĐẸP, NH HT VAY.",58 m² - 2 PN,"1,4 tỷ",Quận 9
1,"Căn Hộ Mới Nhận P7, Q8, Tầng 17 View Sông 2PN 2WC",62 m² - 2 PN,649 triệu,Quận 8
2,RAO GIÁ THẬT BÁN CĂN 75m2 GIÁ CỰC TỐT AKARI CITY,75 m² - 2 PN,"2,58 tỷ",Quận Bình Tân
3,CẦN BÁN CĂN HỘ LAVITA CHARM 3PN 87M2 GIÁ 3.5 TỶ,87 m² - 3 PN,"3,5 tỷ",Quận Thủ Đức
